Marca,Tamanho,Tecnologia,Tela,Entradas,Dominio,arquivo,title
"
Marca: Semp Tcl
","

                
                    
                    
                    
                        55 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2160 Ultra HD 4K
                    
                
                
            
",null,Colombo,99.html,"Android TV LED 55'' TCL, 4K, 3 HDMI, 2 USB, Wi-Fi - 55P715 - Colombo "
"
Marca: Semp Tcl
","

                
                    
                    
                    
                        50 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2160 Ultra HD 4K
                    
                
                
            
",null,Colombo,100.html,"Android TV LED 50'' TCL, 4K, 3 HDMI, 2 USB, Wi-Fi - 50P715 - Colombo "
"
Marca: Semp Tcl
","

                
                    
                    
                    
                        40 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        Full HD
                    
                
                
            
","

                
                    
                    
                    
                        1920 x 1080 Full HD
                    
                
                
            
",null,Colombo,122.html,"Android TV LED 40'' TCL, 2 HDMI, 1 USB, Wi-Fi, Bluetooth - 40S6500FS - Colombo "
"
Marca: Sony
","

                
                    
                    
                    
                        43 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED
                    
                
                
            
","

                
                    
                    
                    
                        1920 x 1080 Full HD
                    
                
                
            
",null,Colombo,146.html,"Smart TV LED 43'' Sony, 2 HDMI, 2 USB, com Wi-Fi - KDL-43W665F - Colombo "
"
Marca: Samsung
","

                
                    
                    
                    
                        65 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        QLED
                    
                
                
            
","

                
                    
                    
                    
                        8K 7680 x 4320 pixels
                    
                
                
            
",null,Colombo,216.html,"TV Samsung QLED 65'' 8K QN65Q900RB, IA Upscaling, Direct Full Array16x, HDR 3000 - Colombo "
"
Marca: LG
","

                
                    
                    
                    
                        23.6 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        VA
                    
                
                
            
","

                
                    
                    
                    
                        1366 x 768
                    
                
                
            
",null,Colombo,1003.html,"Smart TV LED 23,6'' LG, Wi-Fi, 2 HDMI, USB - 24TL52 - Colombo "
"
Marca: Panasonic
","

                
                    
                    
                    
                        55 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        Ultra HD 4K
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2160 (4K QFHD)
                    
                
                
            
",null,Colombo,1020.html,"Smart TV Ultra HD LED 55'' Panasonic, 4K, 3 HDMI, 1 USB, Wi-Fi - TC-55GX500B - Colombo "
"
Marca: Semp Tcl
","

                
                    
                    
                    
                        55 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LCD
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2100 (4K UHD)
                    
                
                
            
",null,Colombo,1102.html,"Smart TV LED 55'' TCL 4K, 3 HDMI, 2 USB, com Wi-Fi - 55P8M - Colombo "
"
Marca: Sony
","

                
                    
                    
                    
                        55 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2160 4K
                    
                
                
            
",null,Colombo,1106.html,"AndroidTV 4K UHD 55"" Sony XBR-55X805G - Mais Cores e Google Assistente - Colombo "
"
Marca: Semp Tcl
","

                
                    
                    
                    
                        50 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LCD
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2100 (4K UHD)
                    
                
                
            
",null,Colombo,1109.html,"Smart TV LED 50'' TCL 4K, 3 HDMI, 2 USB, com Wi-Fi - 50P8M - Colombo "
"
Marca: LG
","

                
                    
                    
                    
                        43 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        Ultra HD 4K
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2160 Ultra HD 4K
                    
                
                
            
",null,Colombo,1154.html,"Smart TV Ultra HD LED 43'' LG, 4K, 4 HDMI, 2 USB - 43UM7510 - Colombo "
"
Marca: Panasonic
","

                
                    
                    
                    
                        50 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        Ultra HD 4K
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2160 (4K QFHD)
                    
                
                
            
",null,Colombo,1156.html,"Smart TV Ultra HD LED 50'' Panasonic, 4K, 3 HDMI, 1 USB, Wi-Fi - TC-50GX500B - Colombo "
"
Marca: Sony
","

                
                    
                    
                    
                        65 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2160 4K
                    
                
                
            
",null,Colombo,1172.html,"Smart TV 4K UHD 65"" Sony KD-65X705G - Mais Cores e Proteção Contra Umidade - Colombo "
"
Marca: Panasonic
","

                
                    
                    
                    
                        32 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED LCD
                    
                
                
            
","

                
                    
                    
                    
                        1366 x 768
                    
                
                
            
",null,Colombo,1213.html,"Smart TV LED 32'' Panasonic, 2 HDMI, 2 USB - TC-32FS500 - Colombo "
"
Marca: Panasonic
","

                
                    
                    
                    
                        40 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED LCD
                    
                
                
            
","

                
                    
                    
                    
                        1920 x 1080 Full HD
                    
                
                
            
",null,Colombo,1234.html,"Smart TV LED 40'' Panasonic, Wi-Fi, 2 HDMI, 2 USB - TC-40FS500B - Colombo "
"
Marca: Semp Tcl
","

                
                    
                    
                    
                        32 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED
                    
                
                
            
","

                
                    
                    
                    
                        1366 x 768 HD
                    
                
                
            
",null,Colombo,1241.html,"Smart TV Android LED HD 32'' TCL, 2 HDMI, Wi-Fi, Bluetooth - 32S6500S - Colombo "
"
Marca: Semp Tcl
","

                
                    
                    
                    
                        43 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED
                    
                
                
            
","

                
                    
                    
                    
                        1920 x 1080 Full HD
                    
                
                
            
",null,Colombo,1249.html,"Smart TV Android LED Full HD 43'' TCL, 2 HDMI, Wi-Fi, Bluetooth - 43S6500FS - Colombo "
"
Marca: Semp Tcl
","

                
                    
                    
                    
                        55 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2160 Ultra HD 4K
                    
                
                
            
",null,Colombo,1256.html,"Android TV LED 55'' TCL, 4K, 3 HDMI, 2 USB, Wi-Fi - 55P715 - Colombo "
"
Marca: Semp Tcl
","

                
                    
                    
                    
                        50 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED
                    
                
                
            
","

                
                    
                    
                    
                        3840 x 2160 Ultra HD 4K
                    
                
                
            
",null,Colombo,1258.html,"Android TV LED 50'' TCL, 4K, 3 HDMI, 2 USB, Wi-Fi - 50P715 - Colombo "
"
Marca: Semp Tcl
","

                
                    
                    
                    
                        40 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        Full HD
                    
                
                
            
","

                
                    
                    
                    
                        1920 x 1080 Full HD
                    
                
                
            
",null,Colombo,1300.html,"Android TV LED 40'' TCL, 2 HDMI, 1 USB, Wi-Fi, Bluetooth - 40S6500FS - Colombo "
"
Marca: Sony
","

                
                    
                    
                    
                        43 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        LED
                    
                
                
            
","

                
                    
                    
                    
                        1920 x 1080 Full HD
                    
                
                
            
",null,Colombo,1400.html,"Smart TV LED 43'' Sony, 2 HDMI, 2 USB, com Wi-Fi - KDL-43W665F - Colombo "
"
Marca: Samsung
","

                
                    
                    
                    
                        65 polegadas
                    
                
                
            
","

                
                    
                    
                    
                        QLED
                    
                
                
            
","

                
                    
                    
                    
                        8K 7680 x 4320 pixels
                    
                
                
            
",null,Colombo,1588.html,"TV Samsung QLED 65'' 8K QN65Q900RB, IA Upscaling, Direct Full Array16x, HDR 3000 - Colombo "
